,Unnamed: 0_x,Title,Link,Genre,Developer,Publisher,Released in: Japan,Plots,Unnamed: 0_y,release_date,price,rating
132,132,The Banner Saga 2,/wiki/The_Banner_Saga_2,Role-playing,Stoic Studio,Versus Evil,"June 7, 2018"," The Banner Saga 2 builds on The Banner Saga's turn-based combat, adding depth with the introduction of new units, new talents, new enemies, interactive objects, and new objectives. It also introduces The Horseborn, a centaur-like race. Several heroes from the original return as playable characters, and many of the choices made in the first game have a direct impact in the second.    In a 2015 interview with Rock Paper Shotgun, Stoic's writer Drew McGee noted that combat in the first game was often criticized as slow and lacking in diversity.  The development team therefore prioritized creating new enemies and enemy types for players to face, giving them new abilities and buffs while also adding more win scenarios and variations in combat. The range and scope of choices available to the players - both in combat and in the overall narrative - has also been expanded.  ",7686.0,7th Jun 2018,£22.49,8.25
133,133,The Banner Saga 3,/wiki/The_Banner_Saga_3,Role-playing,Stoic Studio,Versus Evil,"July 26, 2018", The Banner Saga 3 is a tactical role-playing video game featuring turn-based combat. The themes of the game are inspired by Viking culture.  ,7687.0,26th Jul 2018,£22.49,8.75
134,134,Baroque,/wiki/Baroque_(video_game),Role-playing,Sting Entertainment,Sting Entertainment,"November 12, 2020"," Baroque is a roguelike role-playing video game; taking on the role of the amnesiac player character, the player navigates the Neuro Tower, dungeon crawling through randomly-generated floors, with the aim of reaching the bottom floor. The original game and the remake share basic gameplay, but also have several differences. The original version takes place using a first-person perspective using tank controls, navigating 3D environments while interacting with 2D sprites of characters and enemies. The remake mainly plays from a third-person perspective using entirely 3D graphics, using full analogue movement with more action-based gameplay and combat, in addition to remade graphics and adjustments to the progression.  The game begins outside of the Neuro Tower with no items or experience points. Before entering the Neuro Tower, the player is presented with a gun called the Angelic Rifle with limited ammunition that kills enemies in one hit. During exploration, the player can find items, melee weapons, and equipment scattered around the tower at random and by defeating enemies—which also grants the player experience points, allowing the player character to gain levels and become more powerful. Upon death, rather than resulting in a game over, the protagonist is transported back to the home town; these deaths progress the narrative, and unlocks new dialogue and areas. By throwing an item into a consciousness orb, the player can retrieve it from one of the non-player characters on the next playthrough. Up to five items can be saved in this manner at the start, but the number can increase if certain conditions are met. The Neuro Tower expands after certain conditions are met.  The game uses two gauges to measure the protagonist's health: hit points and vitality. The vitality gauge constantly drains during gameplay. If it empties, the hit point gauge will begin to drain. Both gauges can be refilled by eating various forms of flesh and hearts to restore hit points and vitality respectively. If flesh or a heart is consumed while the relevant stat is filled to maximum, the protagonist's maximum hit points or vitality will increase by a fixed amount. Alongside exploring the Neuro Tower, players can interact with non-playable characters in the one town outside the tower, being able to complete quests. Portals found on each floor of the Neuro Tower will transport the player to the next floor. A recurring element is item management, as the player has a limited inventory and can use, discard or throw items. Many consumable items are unidentified prior to eating them. Items thrown at enemies can cause damage depending on what they are.   ",,,,
135,135,Bastion,/wiki/Bastion_(video_game),Puzzle,Supergiant Games,Supergiant Games,"September 13, 2018"," Bastion is an action role-playing game with a level structure. The player character, ""the Kid"", moves through floating, fantasy-themed environments that form paths as the player approaches the edge. Levels consist of a single plane, and are viewed isometrically. They are filled with enemies of various types, which attempt to harm the Kid. The Kid carries two weapons, which may be selected from the choices available to the player at specific locations called arsenals. The Kid also has the ability to perform a special attack. Weapons and special attacks must be acquired before they can be used. There are a limited number of special attacks that the player can perform at any time, represented by ""black tonics"" that can be found in the levels or dropped from enemies. Special attacks may be used a total of three times. This maximum number of uses can be increased in the Distillery. The Kid's health is represented by a health bar, which can be replenished with ""health tonics"". Like black tonics, the Kid can only carry a certain number of health tonics at a time, and can replenish them by finding more in the levels.  Levels contain many different environment types, including cities, forests, and bogs. At the end of most levels, the player collects an item called a core or a shard; occasionally, the level begins to disintegrate once the Kid takes the item, forcing him to hastily retreat. As the player progresses through the levels, a voice narrates their actions. This narration gives scripted plot information as well as dynamic comments, such as on the player's skill with a weapon or performance while fighting enemies.  Between levels, the Kid visits the Bastion, where the player can use fragments—the game's form of currency—that they have accrued to buy materials and upgrade weapons. With each core the player collects, they can add one of six structures to the Bastion, such as a shrine, an armory, or a distillery, and each shard allows the player to expand a structure. Each structure serves a different purpose; for example, the distillery lets the player select upgrades, and the shrine allows the player to choose idols of the gods to invoke, causing the enemies to become stronger and giving the player increased experience points and currency. Experience points are used to determine the Kid's ability level; higher values give the player more health and increase the number of upgrades they can select.  Whenever the player leaves the Bastion, they can choose between one or two regular levels to play. In addition to these levels, however, the Kid can engage in challenge courses designed to test the player's skills with the weapons the player has found. They are called Proving Grounds. The challenges differ depending on the weapon, such as destroying a certain number of objects within a given time or breaking targets in the fewest shots possible. According to the player's score, different tiers of prizes are awarded. Additionally, the Kid can fight waves of enemies while the narrator tells a character's backstory by journeying to ""Who Knows Where"" from the Bastion. The back story battles occur during 'Memories.' The player earns fragments and experience for each completed wave. After the game is completed, the player can choose to begin a ""new game+"" mode, where the player replays through the game while keeping the experience points, fragments, and weapons that they have gained. This mode also offers more options in the buildings, as well as two more journeys to ""Who Knows Where"".   The game takes place in the aftermath of the Calamity, a catastrophic event that suddenly fractured the city of Caelondia (/seɪˈlɒndiə/) as well as the surrounding areas of the game's world into many floating pieces, disrupting its ecology and reducing most of its people to ash. Players take control of the Kid, a silent protagonist who awakens on one of the few remaining pieces of the old world and sets off for the eponymous Bastion, where everyone was supposed to go in troubled times. The only survivor he meets there is an elderly man named Rucks, the game's narrator, who instructs him to collect the Cores that once powered Caelondia. A device in the Bastion can use the power of the crystalline Cores to create landmasses and structures, as well as enable the Kid to travel farther afield via ""skyways"" that propel him through the air.  During his quest, the Kid meets two more survivors: Zulf, an ambassador from the Ura, underground-dwelling people with whom Caelondia was once at war; and Zia, an Ura girl who was raised in Caelondia. Both of them return to the Bastion, but upon reading a journal that the Kid discovers, Zulf intentionally damages parts of the Bastion's central device (the monument) and returns to Ura territory. The Kid learns that the journal belonged to Zia's father, Venn, who had worked for the Caelondians. He had helped Caelondian scientists (""Mancers"") build a weapon intended to destroy the Ura completely to prevent another war. Venn rigged the weapon to backfire, so that when he was finally forced to trigger it, the resulting Calamity destroyed most of Caelondia as well.  To repair Zulf's damage to the Bastion, the Kid starts collecting Shards, a lesser form of Cores. As he obtains the penultimate shard needed, the Ura attack the Bastion, damaging it and abducting Zia. In the next seven days, The Kid engages in sporadic skirmishes in Ura territory. When he finally blasts through an Ura outpost and meets Zia, she tells him that she had left with the Ura voluntarily to find out their intentions; Rucks had previously told Zia that the Bastion had the ability to somehow fix the Calamity. The Kid travels to the once-underground Ura homeland to retrieve the last shard. There, he discovers Zulf being attacked by his own people: the battle with the Kid has devastated the Ura forces, and they blame Zulf for bringing the Kid to their home. The Kid can choose to drop his weapon to help Zulf or leave him. If he leaves Zulf behind, the Kid destroys the remnants of the Ura and escapes through a skyway. If he chooses to carry Zulf, Ura archers initially open fire on them but ultimately cease fire and watch silently as the Kid and Zulf take the skyway back to the Bastion.  After the Kid returns and recovers, Rucks gives him another choice: He can have the Bastion rewind time to before the Calamity in the hopes of preventing it, or use it to evacuate the survivors and move on to somewhere safe. Rucks is unsure if there is any way to prevent the Calamity from reoccurring if the time is rewound, as there was no way to test the process. The game ends either way, showing images of the characters (with the inclusion of Zulf if the player chose to rescue him) flying away or of their lives before the Calamity along with the credits. In the New Game+ mode, which is unlocked after beating the game once, it is hinted that restoring the world did not prevent the Calamity.  ",931.0,13th Sep 2018,£10.99,8.86
136,136,Baten Kaitos I & II HD Remaster,/wiki/Baten_Kaitos_Eternal_Wings_and_the_Lost_Ocean#Future,Adventure,Monolith Soft,Bandai Namco,TBA (Summer 2023)," Baten Kaitos plays as a Japanese role-playing video game. However, the player does not directly play as the game's protagonist as in most JRPGs, but rather, as a self-named ""guardian spirit"" that directly interacts with the protagonist through preset text dialogue tree response options. At times, characters will address the player and ask questions, giving the sensation of breaking the fourth wall. Answering questions in a rational manner that mirrors the respective character's mindset strengthens their ""bonds"", which in turn awards benefits in the game's battle system. Outside of this indirect way of advising and guiding the flow of the game, the game plays as a traditional RPG, with the player directing characters in the exploration of a game world and in combat against opponents in battles.  The game's mechanics rely heavily on magical cards known as ""Magnus"", which absorb the essence of real-world objects for storage and later use, acting as a container for items, as a sense of inventory management. Some objects are already found in their card form, while others are found and needed to extracted into blanks Magnus cards. Over 1,000 different Magnus exist in the game. Magnus are used in a multitude of ways; Magnus containing food or medicine may be used to heal or temporarily invigorate characters, Magnus containing weapons or armor may be equipped to strengthen characters, Magnus containing battle moves may be put into the players deck and used as attacks in battles, and Magnus may be used to interact with non-playable characters to reveal new conversations or complete various quests. Magnus change automatically in real-time as well, for better and worse; a Magnus containing milk that would heal the player may eventually curdle into cheese, which may heal the character even more, or a Magnus containing a ripe banana may turn into a rotten banana, which would in turn hurt the character if consumed. Additionally, a camera Magnus may be used in battle to take photographs of enemies, which can in turn be sold for varying amounts of money, based on picture quality and rarity of image captured.  Prior to a battle, the player must assemble a deck of Magnus for each party member to be used during combat, from which random hands are dealt from during battle. Battles are both turn-based and action-based; each character has both an offensive and defensive turn, where they have a brief number of seconds to quickly play a limited number of cards from their pre-build deck. Weapon cards are used to fight with, armor cards to defend with, and effect cards cause different effects, such as healing. Each Magnus has a spirit number in the corner ranging from 1–9; playing same-number groupings or numbers used in gradual succession (1-2-3-4) result in an increased damage effect; cards with multiple numbers allow for the player to select the more beneficial option. Magnus can also be combined during battle, and when certain Magnus are played, special combos are formed that create new Magnus. For example, playing the healing cards cucumber and honey combine to create a much stronger healing effect through the creation of a honey dew melon card. Additionally, character-specific ""finishing move"" Magnus may be found over the course of the game, their use leading to especially powerful attacks.  Experience points are accumulated by winning battles, but may only be applied to a character upon visiting blue flowers across the world, which teleports the party to a church, where one may ""pray"" to apply the experience points. Doing so allows the player to ""level up"", leading an increase in the character's primary attributes such as health points, attack strength, or defensive ability, or occasionally ""class up"" which increases the character's magnus deck capacity.  ",,,,
140,140,Battle Brothers,/wiki/Battle_Brothers,Adventure,Ukiyo Publishing,Ukiyo Publishing,"March 11, 2021"," Players establish a mercenary company in medieval Germany and take contracts.  Early game recruits are frequently drunks, criminals, and people who have crippled limbs, as they are the best the player can afford.  Characters can become crippled during combat, both physically and emotionally.  In the late game, additional challenges appear in the form of major crises.  The game's difficulty, including the initial crisis, is configurable.  The game features permadeath and can optionally prohibit save scumming.  ",938.0,11th Mar 2021,£22.99,7.53
141,141,Battle Chasers Nightwar,/wiki/Battle_Chasers_Nightwar,Role-playing,Airship Syndicate,THQ Nordic,"May 15, 2018"," The main cast of characters include Garrison, a brooding swordsman, Calibretto, a kindhearted war golem, Red Monika, a rogue, Knolan, an old wisecracking mage, and Gully, a young girl with a pair of magical gauntlets who is searching for her father. When the airship of the game's main characters is shot down over a mysterious island, they are forced to contend with a large group of ne'er-do-wells who are flocking there due to the discovery of a motherlode of mana. This includes Destra, an evil sorceress.   Players explore the game's overworld in linear fashion, fighting enemies at set instances, until they enter a dungeon, where they explore in an isometric view that has been compared to Diablo. There, they can fight enemies, and dodge traps using special abilities. During battle, the game features an ""overcharge"" mechanic, where using non-magical attacks generates ""overcharge"" that can be used in place of mana. The player can set the difficulty of dungeons before entering, and completing dungeons at higher difficulties results in receiving more experience points.  ",,,,
142,142,Battle Chef Brigade,/wiki/Battle_Chef_Brigade,Action role-playing,Trinket Studios,Adult Swim Games,"November 20, 2017"," Battle Chef Brigade is a video game that combines gameplay from tile-matching puzzle video games and side-scrolling brawler games.  You start cooking by dropping ingredients into your cookware like Tetris. With the ingredients in the 4x4 cooking zone you can stir them around like in Puyo Puyo. When Mina aligns flavor gems and match the same colors the gems combine to increase their rank and the quality of the dish. The more you match and rank up the gems the higher quality the dish is. After you've finished cooking, and before the time limit is up, you have to deliver the dish to the judge.  ",941.0,20th Nov 2017,£17.99,8.42
144,144,Bayonetta,/wiki/Bayonetta_(video_game),Hack and slash,PlatinumGames,Nintendo,"February 16, 2018"," Bayonetta is a single-player, third-person 3D action and hack and slash game. The player controls a witch named Bayonetta, is able to use melee and long ranged attacks and is able to select multiple weapons. By pressing a combination of buttons, they are able to use ""Wicked Weave"" attacks and they are also able to use ""Torture Attacks"" in which Bayonetta summons a variety of devices to deal strong damage to enemies. Such devices range from chainsaws to iron maidens. One ability Bayonetta has is ""Witch Time"", which activates when the player makes a well-timed dodge to an attack. This temporarily increases her speed, causing enemies to appear to move in slow-motion, allowing Bayonetta to inflict massive amounts of counter damage before the enemies can react.  The player can double jump for extra height, perform evasive backflips, and destroy background objects and doors. Camera views can be rotated, enemy targets can be locked on, and weapons can be switched during play. With unlockable transformations, the player can make Bayonetta become a panther or one of various other living creatures to enhance her abilities. Lollipops can be used to heal her, replenish her magic, induce invincibility or increase her strength, although using these items, as well as dying, lowers the score for that chapter. By finding various component items, the player can combine them into new items. Many enemies and objects drop halos when destroyed, which the player can use to buy items, techniques and weapon upgrades. The player can use enemy weapons, either to directly attack or as props for movement. Bayonetta's strongest attacks allow her to summon parts of Madama Butterfly and other demons with her hair.  During development, five difficulty modes were created: ""Very Easy"", ""Easy"", ""Normal"", ""Hard"", and ""Non-Stop Infinite Climax"". On Easy and Very Easy, a ""Very Easy Automatic"" mode is made available in which the game positions Bayonetta to perform attacks on enemies, and the player only needs to press one button to execute elaborate combos, unless they wish to perform their own choice of movements or attacks. Kamiya posted a video on the game's official website in which character designer Mari Shimazaki demonstrated the mode (which Kamiya ""jokingly called 'Mommy Mode'"") in Bayonetta. He expected players to first complete the game in 10 to 12 hours, but believed that its rating system (similar to that of Viewtiful Joe, which he directed) and the pursuit of high scores provide replay value. The game has a fixed button configuration; Kamiya said that ""there wasn't really a point to changing .""  ",964.0,16th Feb 2018,£24.99,8.65
145,145,Bayonetta 2,/wiki/Bayonetta_2,Hack and slash,PlatinumGames,Nintendo,"February 16, 2018"," Bayonetta 2 carries on the action-style gameplay of its predecessor, in which players control the eponymous Bayonetta as she fights against various angelic and demonic forces using combinations of melee attacks and gunplay. Dodging enemy attacks at the last second activates 'Witch Time', slowing down enemies around Bayonetta and allowing players to easily retaliate and solve certain environmental puzzles. Players are also able to use special moves called Torture Attacks, trapping opponents in infernal devices for extra points. Weapon customization from the first game also returns, allowing players to equip combinations of new weapons on both Bayonetta's hands and feet. A large array of weapons can be equipped, including the character's signature guns, a bow, swords and other forms of projectile weapons. Players earn grades during combat, with the highest 'Pure Platinum' grade achieved by performing high numbers of combos, in the fastest time possible, without being damaged. As with the previous game, Bayonetta can use Torture Attacks on her enemies, conjured torture devices that finish off single enemies in gruesome ways and grant a bonus to the player.  Bayonetta 2 adds a new gameplay element called Umbran Climax which can be activated when the player has a full magic gauge. Similar to the state of boss fights in the first game, this technique strengthens Bayonetta's attacks and combos with extra Wicked Weaves and Infernal Demon summons for a short period of time. This increases their overall range and damage and replenishes Bayonetta's health when in use.  ",965.0,16th Feb 2018,£39.99,9.25
146,146,Bayonetta 3,/wiki/Bayonetta_3,Hack and slash,PlatinumGames,Nintendo,"October 28, 2022"," Bayonetta 3, like its predecessors, is an action hack and slash game in which players control the eponymous protagonist Bayonetta as she combats various enemies using a combination of melee attacks and gunplay. Dodging enemy attacks at the last second triggers a state known as ""Witch Time"", during which time and enemies slow down, allowing Bayonetta to continually attack them without interruption, or traverse in real-time to solve environmental puzzles. Unique to this game are the ""Demon Slave"" and ""Demon Masquerade"" mechanics, the former of which differs from the preceding Climax Summon and Umbran Climax features in the first two titles, and instead allows players to take direct control of one of Bayonetta's Infernal Demons to perform various attacks and special abilities, some of which are advantageous to particular scenarios depending on the demon being controlled. The latter meanwhile, allows Bayonetta to directly fuse with a summoned Infernal Demon, granting her access to magic-based abilities, including new attack and traversal options. A new playable character, Viola, can only activate Witch Time through the use of a parry mechanic, and whose only Demon Slave Cheshire cannot be manually controlled. When Viola summons Cheshire, she switches from a sword-based fighting style to a fist-based fighting style.  In addition to the game's standard presentation, a new display mode known as the ""Naive Angel Mode"" is introduced. This mode conceals displays of nudity during gameplay and cinematics, such as Bayonetta's various dances to summon her Wicked Weaves using her clothing as a conduit, as well as the more graphic designs of certain enemies and demons.  ",966.0,28th Oct 2022,£49.99,8.63
147,147,Beach Buggy Racing,/wiki/Beach_Buggy_Racing,Action,Vector Unit,Vector Unit,"September 14, 2017"," Beach Buggy Blitz is built around an ""infinite drive"" mechanic that challenges you to drive as far as possible. You can collect coins along the way to upgrade or paint your car, unlock new vehicles and drivers, even customize the game itself with new powerups and consumables.  ",975.0,14th Sep 2017,£9.99,6.38
154,154,Bendy and the Ink Machine,/wiki/Bendy_and_the_Ink_Machine,Survival horror,TheMeatly Games,Rooster Teeth Games,"November 20, 2018"," Bendy and the Ink Machine is a first person survival that resembles several cartoons in the 1920s to 1940s. The player plays as Henry Stein, a retired animator who returns to his old workplace, Joey Drew Studios, and discovers that a machine has destroyed the entire studio and brought certain cartoon characters to life. The game mixes combat with puzzle mechanics. Players explore through a first-person view and have limited physical actions such as running and jumping. Different items can be collected, some of which are required to perform various tasks before proceeding. Cans of bacon soup can also be collected for achievements and to restore Henry's health if he is injured.  Combat is primarily focused around a variety of different melee-based weapons, such as an axe, pipe, plunger, wrench, or scythe. Additionally there are long-range weapons such as a tommy gun or bacon soup cans. In-game enemies have different strength levels and resilience to damage, forcing players to be tactical about keeping out of reach and striking when necessary. Failure to do so will result in a death. Henry can retreat inside Little Miracle Stations whenever enemies are nearby in order to recover or remain out of sight. If he takes too much damage, he can escape from the ink that consumes him and respawn at one of the numerous statues of Bendy that act as checkpoints. The player can save their progress by interacting with time card stations.  In addition, players can find numerous audio logs throughout the studio that give more details about the game's story, particularly concerning the fate of the studio and its employees, similar to the systems used in games such as BioShock. Some of these logs can be missed and require further exploration to uncover the secret areas they often reside In. At the final chapter, players unlock the Seeing Tool, which is a device used to view secret hidden messages that would be invisible without it. After completing it, players can also use it in the previous four chapters.   ",1019.0,20th Nov 2018,£24.99,6.0
155,155,Beyblade Burst Battle Zero,/wiki/Beyblade_Burst_Battle_Zero,Action,FuRyu,FuRyu,"October 25, 2018", ,,,,
156,156,Beyond a Steel Sky,/wiki/Beyond_a_Steel_Sky,Adventure,Revolution Software,Microids,"November 30, 2021"," Beyond a Steel Sky takes place within a far-future Earth, in which mega-cities, such as Union City, exist within a world that has been ravaged by nuclear war and disasters. While those who reside in such cities are subject to their laws and views on society by major corporations, those who reside outside them in the vast wastes (referred to as The Gap) live within tribal communities that survive on trading, hunting and other skills, with such people referred to by city dwellers as Gaplanders. The game's story is set ten years after the events of Beneath a Steel Sky, and focuses on the life of Robert Foster - a Gaplander who formerly resided in Union City as a child, until certain events led to him being exiled unwillingly and raised by a local tribe that found him. The plot, written by Charles Cecil, focuses on the concept of how an AI would interpret a prime directive to make people happy.  ",1027.0,30th Nov 2021,£34.99,7.08
157,157,Big Buck Hunter Arcade,/wiki/Big_Buck_Hunter_Arcade,Simulation,Soma Sim,Kalypso Media,"October 16, 2018"," Inspired by Duck Hunt, the game's goal is to shoot the male animals as they run across the screen. The round ends when a female one is shot. Each scene will begin with a couple of animals walking without any suspicions. After a first shot is done, the animals will begin running and the hunt starts. Big Buck Hunter is separated in five screens, also known as ""treks"". A hunting sessions concludes in a bonus round. The players can either participate solo or one on one by using two plastic rifles. How much points will be earned depends on certain factors like distance, weight and accuracy. There are different states to choose from with a variety of animals, like antelope or moose. The hunting can be done in different conditions varying from fog to snow, with overall 16 bonus rounds. All of the Big Buck HD machines are networked so they can track the players' rankings through online leaderboards. Big Buck HD was the first edition to integrate Facebook and Twitter. That allows players to share and compare scores and awards via social networks.  ",1045.0,16th Oct 2018,£17.99,0.0
158,158,The Big Con,/wiki/The_Big_Con_(video_game),Adventure,Mighty Yell,Skybound Games,"June 1, 2022"," The Big Con is an adventure game where players control Ali, a teenager who has to raise money to save her mother's store. In each location, the player has to steal a certain amount of money. Once the threshold is reached, the player can continue to explore, or leave the area by talking to Ted. Ali can earn money by pickpocketing non-player characters (NPCs). Each NPC has an indicator that shows the amount of the cash that they hold. To successfully pickpocket a character, the player will have to play a minigame where they must stop a needle in a target area. If Ali fails to pickpocket a NPC, she will have to find another disguise before attempting to pickpocket them again. If she fails three separate times, she will have to rewind VHS tapes at a video rental store. Ali will earn back lost money after completing this task. Ali can also earn money by collecting items and selling them to a pawnbroker. Ali can also accept side-quests from NPCs.  ",,,,
159,159,Big Pharma,/wiki/Big_Pharma_(video_game),Puzzle,Nussoft,Klabater,"December 5, 2019","Game mechanics  In Big Pharma the player takes the role as the manager of a pharmaceutical company, producing medication from raw materials. Raw materials have intrinsic positive (e.g., ""Reduces coughs"") and negative (e.g., ""Induces drowsiness"") effects that present themselves when the material is within a set concentration range, with possible concentrations ranging on a 0-to-20 scale. Most of the positive benefits can be enhanced to more desirable effects, or negative side effects can be outright removed, by bringing the material to a specific concentration range and applying an indicated process, some further requiring the addition of a catalyst material which itself carries positive and negative effects. Materials can also be mixed to combine positive and negative benefits to create more potent drugs. The goal in the mixing and preparation of materials is to achieve drugs that have their positive effects as close to their maximum potency concentration while either eliminating side effects or bringing the material's concentration as far away from the side effects' maximum potency levels.  The player produces the drugs using an assembly line approach with various equipment that can modify the concentration of the material, combine materials, rearrange the effects of a material to determine how effects combine when mixed, analyze materials to determine maximum potency levels, and finally prepare the material in pill form for delivery. This is done on an isometric view of building plant floorplan, with various ports along the edges that can be used to bring in materials or ship out completed drugs. Materials are transported via conveyor belts between the processing units. Added building space can be purchased with in-game funds. The player can click on processes or materials to evaluate their current state, thus giving them the ability to debug the production line. Once the player has produced a complete pill from specific materials for the first time and delivered it to an output port, they are given the opportunity to name the product. This product is then sold on the game's virtual market. The produce is rated on a letter-grade based on the effectiveness and lack of side-effects as well as current market demand. The production lines operate in real-time—in that while the player can pause the game to arrange equipment within a production line, the game while running tracks the movement of each unit of material through the production line and only considered each unit as a product when it reaches the end of the production line.  In the larger game, the player must build up these drug production lines to maintain a profit and allow them to build additional lines. Scenarios in the game include competing companies that will also be releasing prescription drugs that will impact the profitability of the player's products. For example, if other companies have released a cold remedy drug, the market may be too saturated for a better cold remedy to succeed. The player can review what market demand there is for specific remedies to tailor productions toward those goals. In addition, the player can manage a research tree that enables more effective process equipment and other benefits to be built, and send out explorers to research on new possible ingredients to build from. The game includes a number of preset scenarios (such as reached a financial milestone after a number of years of operation) at various difficulty levels as well as the ability to create a custom open-ended game.  An expansion, ""Marketing And Malpractice"", was released on 26 April 2016. This expansion added Executives as part of the company which can be used to market the drugs produced by the player's production lines, as well as to try to manipulate and corner the market.  ",1048.0,5th Dec 2019,£26.99,6.63
161,161,The Binding of Isaac Rebirth,/wiki/The_Binding_of_Isaac_Rebirth,Roguelike,Nicalis,Pikii,"November 22, 2018"," The Binding of Isaac: Rebirth (like the original) is a top-down 2D game where the player controls the character Isaac, alongside sixteen other unlockable characters, as he traverses the basement and other places, fighting off monsters and collecting items. The gameplay is presented in a roguelike style; the dungeon levels are procedurally generated through a randomly generated seed into a number of self-contained rooms, including at least one boss battle. Like most roguelike games, it has permadeath; when the chosen character dies from too much damage, the game is over. Rebirth allows a play-through to be saved at any point. Map seeds can be shared, allowing for multiple people to try the same dungeon layout. However, seeded runs can’t earn player’s achievements, preventing users using overpowered seeds to get unlocks.  The game is controlled similarly to a multidirectional shooter. The player moves their character around the screen, shooting their tears in other directions; the tears are bullets which defeat enemies. The player-character's health is tracked by a number of hearts. The character can find items which replenish hearts; other items give the character additional hearts, extending their health. Throughout the dungeons, the player will find bombs to damage foes and destroy obstacles; keys to open doors and treasure chests; and coins to buy items. Many items impact the character's attributes (such as speed and the damage and range of their tears) and other gameplay effects, including a character who floats behind the player-character and aids in combat. Some items are passive; some are active and reusable (requiring the player to wait a number of rooms before they can reuse them), and others are single-use items which then disappear. The player can collect any number of passive items, whose effects build on previous ones (creating potentially powerful combinations). A player can only carry one reusable item or one single-use item, replacing it with another if found. Other rooms in the dungeons include special challenges, mini-boss fights, dice pip rooms, arcades, vaults, and curse rooms.  In addition to expanding The Binding of Isaac's number of items, monsters, and room types (including those spanning multiple screens), Rebirth provides integrated controller support and allows a second local player to join in with a drop-in-drop-out mechanic. The second player controls a follower of the first player-character with the same attributes and abilities of that character, costing the first player-character one heart. The second character cannot plant bombs or carry items.   The Binding of Isaac: Rebirth's plot loosely follows the biblical story of the same name, similar to the original game. Isaac, a child, and his mother live in a small house on a hill, both happily keeping to themselves, with Isaac drawing pictures and playing with his toys, and his mother watching Christian broadcasts on television. Isaac's mother then hears ""a voice from above"", stating her son is corrupted with sin, and needs to be saved. She removes all his possessions (including toys and clothing), believing they were the corrupting agents, and later locks him in his room to protect him from the evil outside. When she receives instructions to sacrifice her son to prove her devotion to her faith, Isaac flees through a trap door in his room, leading to ""the unknown depths below"".  After venturing through various floors and reaching The Depths, Isaac battles his mother. After defeating her, the game cuts back to Isaac in his room, where his mother attempts to kill him, grasping a butcher's knife. A Bible is knocked off a shelf, striking Isaac's mother in the head, killing her. Isaac celebrates, before the game cuts again to a smiling Isaac, where his mother once again opens his door, holding a knife.  Further completions of the game unlock new routes as well as new endings, including fights various new final bosses, such as Mom's Heart, It Lives, or Mega Satan.  ",,,,
162,162,The Binding of Isaac Repentance,/wiki/The_Binding_of_Isaac_Rebirth,Roguelike,Nicalis,Nicalis,"November 4, 2021"," The Binding of Isaac: Rebirth (like the original) is a top-down 2D game where the player controls the character Isaac, alongside sixteen other unlockable characters, as he traverses the basement and other places, fighting off monsters and collecting items. The gameplay is presented in a roguelike style; the dungeon levels are procedurally generated through a randomly generated seed into a number of self-contained rooms, including at least one boss battle. Like most roguelike games, it has permadeath; when the chosen character dies from too much damage, the game is over. Rebirth allows a play-through to be saved at any point. Map seeds can be shared, allowing for multiple people to try the same dungeon layout. However, seeded runs can’t earn player’s achievements, preventing users using overpowered seeds to get unlocks.  The game is controlled similarly to a multidirectional shooter. The player moves their character around the screen, shooting their tears in other directions; the tears are bullets which defeat enemies. The player-character's health is tracked by a number of hearts. The character can find items which replenish hearts; other items give the character additional hearts, extending their health. Throughout the dungeons, the player will find bombs to damage foes and destroy obstacles; keys to open doors and treasure chests; and coins to buy items. Many items impact the character's attributes (such as speed and the damage and range of their tears) and other gameplay effects, including a character who floats behind the player-character and aids in combat. Some items are passive; some are active and reusable (requiring the player to wait a number of rooms before they can reuse them), and others are single-use items which then disappear. The player can collect any number of passive items, whose effects build on previous ones (creating potentially powerful combinations). A player can only carry one reusable item or one single-use item, replacing it with another if found. Other rooms in the dungeons include special challenges, mini-boss fights, dice pip rooms, arcades, vaults, and curse rooms.  In addition to expanding The Binding of Isaac's number of items, monsters, and room types (including those spanning multiple screens), Rebirth provides integrated controller support and allows a second local player to join in with a drop-in-drop-out mechanic. The second player controls a follower of the first player-character with the same attributes and abilities of that character, costing the first player-character one heart. The second character cannot plant bombs or carry items.   The Binding of Isaac: Rebirth's plot loosely follows the biblical story of the same name, similar to the original game. Isaac, a child, and his mother live in a small house on a hill, both happily keeping to themselves, with Isaac drawing pictures and playing with his toys, and his mother watching Christian broadcasts on television. Isaac's mother then hears ""a voice from above"", stating her son is corrupted with sin, and needs to be saved. She removes all his possessions (including toys and clothing), believing they were the corrupting agents, and later locks him in his room to protect him from the evil outside. When she receives instructions to sacrifice her son to prove her devotion to her faith, Isaac flees through a trap door in his room, leading to ""the unknown depths below"".  After venturing through various floors and reaching The Depths, Isaac battles his mother. After defeating her, the game cuts back to Isaac in his room, where his mother attempts to kill him, grasping a butcher's knife. A Bible is knocked off a shelf, striking Isaac's mother in the head, killing her. Isaac celebrates, before the game cuts again to a smiling Isaac, where his mother once again opens his door, holding a knife.  Further completions of the game unlock new routes as well as new endings, including fights various new final bosses, such as Mom's Heart, It Lives, or Mega Satan.  ",,,,
